GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
11001007409,140,11,001,47900,548,,,Census Tract 74.09,3499,1507,3444,1458,3499,3444
11001009507,140,11,001,47900,548,,,Census Tract 95.07,1489,607,1533,663,1489,1533
11001009508,140,11,001,47900,548,,,Census Tract 95.08,3290,1742,2860,1353,3290,2860
11001009810,140,11,001,47900,548,,,Census Tract 98.10,2507,1171,2169,1121,2507,2169
11001006202,140,11,001,47900,548,,,Census Tract 62.02,33,8,12,6,33,12
11001006400,140,11,001,47900,548,,,Census Tract 64,2139,1055,2240,1058,2139,2240
11001009302,140,11,001,47900,548,,,Census Tract 93.02,1189,545,1201,544,1189,1201
11001001002,140,11,001,47900,548,,,Census Tract 10.02,3442,2342,3465,2361,3442,3465
11001005500,140,11,001,47900,548,,,Census Tract 55,6671,4983,4696,3549,6671,4696
11001008301,140,11,001,47900,548,,,Census Tract 83.01,2279,1154,2243,1254,2279,2243
11001009102,140,11,001,47900,548,,,Census Tract 91.02,4127,1854,4400,1803,4127,4400
11001000100,140,11,001,47900,548,,,Census Tract 1,4890,2999,4674,2933,4890,4674
11001000201,140,11,001,47900,548,,,Census Tract 2.01,3916,2,4467,31,3916,4467
11001000202,140,11,001,47900,548,,,Census Tract 2.02,5425,2143,3850,2043,5425,3850
11001000702,140,11,001,47900,548,,,Census Tract 7.02,3364,2471,3326,2363,3364,3326
11001000801,140,11,001,47900,548,,,Census Tract 8.01,6709,3528,6721,3467,6709,6721
11001000802,140,11,001,47900,548,,,Census Tract 8.02,2869,1423,2806,1398,2869,2806
11001001301,140,11,001,47900,548,,,Census Tract 13.01,3955,2156,3747,2147,3955,3747
11001001302,140,11,001,47900,548,,,Census Tract 13.02,6857,5375,6294,4915,6857,6294
11001003400,140,11,001,47900,548,,,Census Tract 34,4347,1347,4249,1358,4347,4249
11001003500,140,11,001,47900,548,,,Census Tract 35,3740,1189,3498,970,3740,3498
11001003600,140,11,001,47900,548,,,Census Tract 36,4208,2308,3915,1970,4208,3915
11001003700,140,11,001,47900,548,,,Census Tract 37,5763,2570,4990,2076,5763,4990
11001003800,140,11,001,47900,548,,,Census Tract 38,4614,2861,4718,2554,4614,4718
11001004201,140,11,001,47900,548,,,Census Tract 42.01,3342,2259,3392,2224,3342,3392
11001004300,140,11,001,47900,548,,,Census Tract 43,3255,2084,3290,1846,3255,3290
11001004901,140,11,001,47900,548,,,Census Tract 49.01,2087,1094,2013,941,2087,2013
11001004902,140,11,001,47900,548,,,Census Tract 49.02,2690,1530,2286,1148,2690,2286
